age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
38,4,31848,8,11,2,3,0,4,1,0,0,40,39
40,4,119493,15,10,4,4,3,4,0,0,0,40,39
50,2,151143,11,9,4,1,3,4,0,0,0,40,39
39,2,357962,7,12,4,14,1,4,1,0,0,48,39
39,4,746786,9,13,2,10,0,4,1,0,0,55,39
50,4,137815,11,9,2,14,0,4,1,0,0,60,39
38,4,210198,11,9,4,12,4,4,0,0,0,30,39
23,4,33644,9,13,4,8,1,4,0,0,0,50,39
33,4,163003,9,13,4,4,2,1,0,0,0,40,30
47,4,121124,9,13,2,3,0,4,1,15024,0,50,39
42,4,190179,9,13,2,10,0,4,1,99999,0,40,39
30,6,116666,12,14,0,10,1,1,1,0,0,50,19
20,4,26842,15,10,4,7,1,4,0,2176,0,40,39
42,4,261929,9,13,2,4,0,4,1,7688,0,40,39
22,6,104164,8,11,4,5,1,4,1,0,0,35,39
51,4,541755,11,9,2,3,0,4,1,0,0,40,39
24,4,341368,11,9,4,1,1,4,1,0,0,40,39
36,4,238342,15,10,0,1,1,4,1,0,0,40,39
45,4,241350,11,9,2,6,0,4,1,0,0,48,39
63,1,154675,11,9,6,4,1,4,0,0,0,40,39
61,2,167347,15,10,2,1,0,4,1,0,0,35,39
46,4,45363,14,15,0,10,1,4,1,0,2824,40,39
50,4,234373,12,14,2,4,5,4,0,0,1485,40,39
30,7,343789,15,10,2,1,0,4,1,0,0,40,39
36,4,61778,15,10,2,3,0,4,1,0,0,60,39
47,4,274883,11,9,2,14,0,4,1,0,0,40,39
19,4,232392,11,9,4,8,2,4,0,0,0,40,39
52,1,617021,9,13,2,13,0,2,1,7688,0,40,39
69,0,262352,15,10,2,0,0,4,1,0,0,32,39
35,2,258725,7,12,2,13,0,4,1,0,0,40,39
39,5,216473,9,13,2,4,0,4,1,0,0,60,39
48,4,108699,11,9,4,1,1,4,0,0,0,40,39
22,2,198478,15,10,2,11,0,4,1,0,0,40,39
30,4,247444,15,10,2,7,0,4,1,0,0,40,27
54,4,192862,11,9,0,4,4,4,0,0,0,45,39
41,4,113324,11,9,2,6,0,4,1,0,0,40,39
24,4,174461,7,12,0,8,1,4,0,0,0,22,39
46,7,164023,15,10,2,11,0,2,1,0,0,70,39
32,4,200700,15,10,4,12,1,4,1,0,0,50,39
